lat,lon,useful_crop_percentage,useless_non_crop_percentage
47.93487935325868,-96.76444348595372,95.08,4.92
36.43487935325868,-120.26444348595372,94.07,5.93
35.93487935325868,-90.26444348595372,93.22,6.78
38.43487935325868,-100.76444348595372,92.65,7.35
40.93487935325868,-88.26444348595373,92.45,7.55
36.43487935325868,-119.76444348595372,91.96,8.04
38.93487935325868,-121.76444348595372,91.94,8.06
43.43487935325868,-94.26444348595372,91.93,8.07
36.43487935325868,-89.76444348595373,91.68,8.32
42.43487935325868,-97.26444348595372,91.26,8.74
39.43487935325868,-121.76444348595372,91.1,8.9
35.93487935325868,-119.76444348595372,91.04,8.96
44.43487935325868,-94.26444348595372,90.94,9.06
40.93487935325868,-97.76444348595372,90.61,9.39
48.43487935325868,-96.76444348595372,90.47,9.53
40.43487935325868,-89.26444348595373,90.22,9.78
40.43487935325868,-87.76444348595373,90.04,9.96
45.93487935325868,-96.26444348595372,89.84,10.16
46.93487935325868,-97.26444348595372,89.8,10.2
47.43487935325868,-97.26444348595372,89.68,10.32
39.93487935325868,-89.26444348595373,89.65,10.35
40.43487935325868,-88.26444348595373,89.49,10.51
37.43487935325868,-100.76444348595372,89.45,10.55
41.93487935325868,-97.76444348595372,89.37,10.63
42.93487935325868,-96.26444348595372,89.32,10.68
39.93487935325868,-88.26444348595373,89.14,10.86
47.43487935325868,-96.76444348595372,89.13,10.87
42.43487935325868,-95.26444348595372,89.05,10.95
42.93487935325868,-94.76444348595372,89.01,10.99
33.43487935325868,-101.76444348595372,88.75,11.25
36.93487935325868,-89.76444348595373,88.6,11.4
40.43487935325868,-85.76444348595373,88.43,11.57
40.93487935325868,-97.26444348595372,88.38,11.62
40.93487935325868,-84.76444348595373,88.3,11.7
40.93487935325868,-101.76444348595372,88.28,11.72
44.43487935325868,-95.26444348595372,88.26,11.74
42.93487935325868,-93.76444348595372,88.2,11.8
44.93487935325868,-95.26444348595372,88.1,11.9
40.43487935325868,-97.76444348595372,87.86,12.14
41.43487935325868,-89.26444348595373,87.84,12.16
42.93487935325868,-95.76444348595372,87.36,12.64
42.43487935325868,-92.76444348595372,87.12,12.88
43.43487935325868,-83.76444348595373,86.96,13.04
39.93487935325868,-87.76444348595373,86.9,13.1
34.43487935325868,-102.26444348595372,86.89,13.11
42.43487935325868,-94.76444348595372,86.64,13.36
40.43487935325868,-99.26444348595372,86.56,13.44
38.43487935325868,-102.26444348595372,86.44,13.56
38.43487935325868,-98.26444348595372,86.35,13.65
39.93487935325868,-104.26444348595372,86.28,13.72
44.93487935325868,-94.76444348595372,86.27,13.73
38.43487935325868,-121.76444348595372,86.21,13.79
33.43487935325868,-90.76444348595372,86.2,13.8
26.43487935325868,-97.76444348595372,85.89,14.11
48.93487935325868,-100.76444348595372,85.56,14.44
43.43487935325868,-95.76444348595372,85.44,14.56
46.43487935325868,-96.76444348595372,85.33,14.67
43.43487935325868,-96.26444348595372,85.29,14.71
42.93487935325868,-96.76444348595372,85.28,14.72
40.93487935325868,-87.76444348595373,85.18,14.82
31.43487935325868,-100.26444348595372,85.15,14.85
43.43487935325868,-93.76444348595372,85.05,14.95
33.43487935325868,-102.26444348595372,84.98,15.02
43.93487935325868,-94.76444348595372,84.93,15.07
48.43487935325868,-97.26444348595372,84.76,15.24
43.43487935325868,-92.76444348595372,84.66,15.34
48.93487935325868,-98.76444348595372,84.61,15.39
