lon,lat,State
-124.26444348595373,40.43487935325868,California
-124.26444348595373,42.43487935325868,Oregon
-124.26444348595373,42.93487935325868,Oregon
-124.26444348595373,43.43487935325868,Oregon
-124.26444348595373,47.43487935325868,Washington
-124.26444348595373,47.93487935325868,Washington
-123.76444348595373,39.43487935325868,California
-123.76444348595373,39.93487935325868,California
-123.76444348595373,40.43487935325868,California
-123.76444348595373,40.93487935325868,California
-123.76444348595373,41.43487935325868,California
-123.76444348595373,41.93487935325868,California
-123.76444348595373,42.43487935325868,Oregon
-123.76444348595373,42.93487935325868,Oregon
-123.76444348595373,43.43487935325868,Oregon
-123.76444348595373,43.93487935325868,Oregon
-123.76444348595373,44.43487935325868,Oregon
-123.76444348595373,44.93487935325868,Oregon
-123.76444348595373,45.43487935325868,Oregon
-123.76444348595373,45.93487935325868,Oregon
-123.76444348595373,46.43487935325868,Washington
-123.76444348595373,46.93487935325868,Washington
-123.76444348595373,47.43487935325868,Washington
-123.76444348595373,47.93487935325868,Washington
-123.26444348595373,38.93487935325868,California
-123.26444348595373,39.43487935325868,California
-123.26444348595373,39.93487935325868,California
-123.26444348595373,40.43487935325868,California
-123.26444348595373,40.93487935325868,California
-123.26444348595373,41.43487935325868,California
-123.26444348595373,41.93487935325868,California
-123.26444348595373,42.43487935325868,Oregon
-123.26444348595373,42.93487935325868,Oregon
-123.26444348595373,43.43487935325868,Oregon
-123.26444348595373,43.93487935325868,Oregon
-123.26444348595373,44.43487935325868,Oregon
-123.26444348595373,44.93487935325868,Oregon
-123.26444348595373,45.43487935325868,Oregon
-123.26444348595373,45.93487935325868,Oregon
-123.26444348595373,46.43487935325868,Washington
-123.26444348595373,46.93487935325868,Washington
-123.26444348595373,47.43487935325868,Washington
-123.26444348595373,47.93487935325868,Washington
-122.76444348595373,38.43487935325868,California
-122.76444348595373,38.93487935325868,California
-122.76444348595373,39.43487935325868,California
-122.76444348595373,39.93487935325868,California
-122.76444348595373,40.43487935325868,California
-122.76444348595373,40.93487935325868,California
-122.76444348595373,41.43487935325868,California
-122.76444348595373,41.93487935325868,California
-122.76444348595373,42.43487935325868,Oregon
-122.76444348595373,42.93487935325868,Oregon
-122.76444348595373,43.43487935325868,Oregon
-122.76444348595373,43.93487935325868,Oregon
-122.76444348595373,44.43487935325868,Oregon
-122.76444348595373,44.93487935325868,Oregon
-122.76444348595373,45.43487935325868,Oregon
-122.76444348595373,45.93487935325868,Washington
-122.76444348595373,46.43487935325868,Washington
-122.76444348595373,46.93487935325868,Washington
-122.76444348595373,47.43487935325868,Washington
-122.76444348595373,47.93487935325868,Washington
-122.26444348595373,37.43487935325868,California
-122.26444348595373,37.93487935325868,California
-122.26444348595373,38.43487935325868,California
-122.26444348595373,38.93487935325868,California
-122.26444348595373,39.43487935325868,California
-122.26444348595373,39.93487935325868,California
-122.26444348595373,40.43487935325868,California
-122.26444348595373,40.93487935325868,California
-122.26444348595373,41.43487935325868,California
-122.26444348595373,41.93487935325868,California
-122.26444348595373,42.43487935325868,Oregon
-122.26444348595373,42.93487935325868,Oregon
-122.26444348595373,43.43487935325868,Oregon
-122.26444348595373,43.93487935325868,Oregon
-122.26444348595373,44.43487935325868,Oregon
-122.26444348595373,44.93487935325868,Oregon
-122.26444348595373,45.43487935325868,Oregon
-122.26444348595373,45.93487935325868,Washington
-122.26444348595373,46.43487935325868,Washington
-122.26444348595373,46.93487935325868,Washington
-122.26444348595373,47.43487935325868,Washington
-122.26444348595373,47.93487935325868,Washington
-122.26444348595373,48.43487935325868,Washington
-122.26444348595373,48.93487935325868,Washington
-121.76444348595373,36.43487935325868,California
-121.76444348595373,36.93487935325868,California
-121.76444348595373,37.43487935325868,California
-121.76444348595373,37.93487935325868,California
-121.76444348595373,38.43487935325868,California
-121.76444348595373,38.93487935325868,California
-121.76444348595373,39.43487935325868,California
-121.76444348595373,39.93487935325868,California
-121.76444348595373,40.43487935325868,California
-121.76444348595373,40.93487935325868,California
-121.76444348595373,41.43487935325868,California
-121.76444348595373,41.93487935325868,California
-121.76444348595373,42.43487935325868,Oregon
-121.76444348595373,42.93487935325868,Oregon
-121.76444348595373,43.43487935325868,Oregon
-121.76444348595373,43.93487935325868,Oregon
-121.76444348595373,44.43487935325868,Oregon
-121.76444348595373,44.93487935325868,Oregon
-121.76444348595373,45.43487935325868,Oregon
-121.76444348595373,45.93487935325868,Washington
-121.76444348595373,46.43487935325868,Washington
-121.76444348595373,46.93487935325868,Washington
-121.76444348595373,47.43487935325868,Washington
-121.76444348595373,47.93487935325868,Washington
-121.76444348595373,48.43487935325868,Washington
-121.76444348595373,48.93487935325868,Washington
-121.26444348595373,35.93487935325868,California
-121.26444348595373,36.43487935325868,California
-121.26444348595373,36.93487935325868,California
-121.26444348595373,37.43487935325868,California
-121.26444348595373,37.93487935325868,California
-121.26444348595373,38.43487935325868,California
-121.26444348595373,38.93487935325868,California
-121.26444348595373,39.43487935325868,California
-121.26444348595373,39.93487935325868,California
-121.26444348595373,40.43487935325868,California
-121.26444348595373,40.93487935325868,California
-121.26444348595373,41.43487935325868,California
-121.26444348595373,41.93487935325868,California
-121.26444348595373,42.43487935325868,Oregon
-121.26444348595373,42.93487935325868,Oregon
-121.26444348595373,43.43487935325868,Oregon
-121.26444348595373,43.93487935325868,Oregon
-121.26444348595373,44.43487935325868,Oregon
-121.26444348595373,44.93487935325868,Oregon
-121.26444348595373,45.43487935325868,Oregon
-121.26444348595373,45.93487935325868,Washington
-121.26444348595373,46.43487935325868,Washington
-121.26444348595373,46.93487935325868,Washington
-121.26444348595373,47.43487935325868,Washington
-121.26444348595373,47.93487935325868,Washington
-121.26444348595373,48.43487935325868,Washington
-121.26444348595373,48.93487935325868,Washington
-120.76444348595373,35.43487935325868,California
-120.76444348595373,35.93487935325868,California
-120.76444348595373,36.43487935325868,California
-120.76444348595373,36.93487935325868,California
-120.76444348595373,37.43487935325868,California
-120.76444348595373,37.93487935325868,California
-120.76444348595373,38.43487935325868,California
-120.76444348595373,38.93487935325868,California
-120.76444348595373,39.43487935325868,California
-120.76444348595373,39.93487935325868,California
-120.76444348595373,40.43487935325868,California
-120.76444348595373,40.93487935325868,California
-120.76444348595373,41.43487935325868,California
-120.76444348595373,41.93487935325868,California
-120.76444348595373,42.43487935325868,Oregon
-120.76444348595373,42.93487935325868,Oregon
-120.76444348595373,43.43487935325868,Oregon
-120.76444348595373,43.93487935325868,Oregon
-120.76444348595373,44.43487935325868,Oregon
-120.76444348595373,44.93487935325868,Oregon
-120.76444348595373,45.43487935325868,Oregon
-120.76444348595373,45.93487935325868,Washington
-120.76444348595373,46.43487935325868,Washington
-120.76444348595373,46.93487935325868,Washington
-120.76444348595373,47.43487935325868,Washington
-120.76444348595373,47.93487935325868,Washington
-120.76444348595373,48.43487935325868,Washington
-120.76444348595373,48.93487935325868,Washington
-120.26444348595373,34.93487935325868,California
-120.26444348595373,35.43487935325868,California
-120.26444348595373,35.93487935325868,California
-120.26444348595373,36.43487935325868,California
-120.26444348595373,36.93487935325868,California
-120.26444348595373,37.43487935325868,California
-120.26444348595373,37.93487935325868,California
-120.26444348595373,38.43487935325868,California
-120.26444348595373,38.93487935325868,California
-120.26444348595373,39.43487935325868,California
-120.26444348595373,39.93487935325868,California
-120.26444348595373,40.43487935325868,California
-120.26444348595373,40.93487935325868,California
-120.26444348595373,41.43487935325868,California
-120.26444348595373,41.93487935325868,California
-120.26444348595373,42.43487935325868,Oregon
-120.26444348595373,42.93487935325868,Oregon
-120.26444348595373,43.43487935325868,Oregon
-120.26444348595373,43.93487935325868,Oregon
-120.26444348595373,44.43487935325868,Oregon
-120.26444348595373,44.93487935325868,Oregon
-120.26444348595373,45.43487935325868,Oregon
-120.26444348595373,45.93487935325868,Washington
-120.26444348595373,46.43487935325868,Washington
-120.26444348595373,46.93487935325868,Washington
-120.26444348595373,47.43487935325868,Washington
-120.26444348595373,47.93487935325868,Washington
-120.26444348595373,48.43487935325868,Washington
-120.26444348595373,48.93487935325868,Washington
-119.76444348595373,34.43487935325868,California
-119.76444348595373,34.93487935325868,California
-119.76444348595373,35.43487935325868,California
-119.76444348595373,35.93487935325868,California
-119.76444348595373,36.43487935325868,California
-119.76444348595373,36.93487935325868,California
-119.76444348595373,37.43487935325868,California
-119.76444348595373,37.93487935325868,California
-119.76444348595373,38.43487935325868,California
-119.76444348595373,38.93487935325868,Nevada
-119.76444348595373,39.43487935325868,Nevada
-119.76444348595373,39.93487935325868,Nevada
-119.76444348595373,40.43487935325868,Nevada
-119.76444348595373,40.93487935325868,Nevada
-119.76444348595373,41.43487935325868,Nevada
-119.76444348595373,41.93487935325868,Nevada
-119.76444348595373,42.43487935325868,Oregon
-119.76444348595373,42.93487935325868,Oregon
-119.76444348595373,43.43487935325868,Oregon
-119.76444348595373,43.93487935325868,Oregon
-119.76444348595373,44.43487935325868,Oregon
-119.76444348595373,44.93487935325868,Oregon
-119.76444348595373,45.43487935325868,Oregon
-119.76444348595373,45.93487935325868,Washington
-119.76444348595373,46.43487935325868,Washington
-119.76444348595373,46.93487935325868,Washington
-119.76444348595373,47.43487935325868,Washington
-119.76444348595373,47.93487935325868,Washington
-119.76444348595373,48.43487935325868,Washington
-119.76444348595373,48.93487935325868,Washington
-119.26444348595373,34.43487935325868,California
-119.26444348595373,34.93487935325868,California
-119.26444348595373,35.43487935325868,California
-119.26444348595373,35.93487935325868,California
-119.26444348595373,36.43487935325868,California
-119.26444348595373,36.93487935325868,California
-119.26444348595373,37.43487935325868,California
-119.26444348595373,37.93487935325868,California
-119.26444348595373,38.43487935325868,California
-119.26444348595373,38.93487935325868,Nevada
-119.26444348595373,39.43487935325868,Nevada
-119.26444348595373,39.93487935325868,Nevada
-119.26444348595373,40.43487935325868,Nevada
-119.26444348595373,40.93487935325868,Nevada
-119.26444348595373,41.43487935325868,Nevada
-119.26444348595373,41.93487935325868,Nevada
-119.26444348595373,42.43487935325868,Oregon
-119.26444348595373,42.93487935325868,Oregon
-119.26444348595373,43.43487935325868,Oregon
-119.26444348595373,43.93487935325868,Oregon
-119.26444348595373,44.43487935325868,Oregon
-119.26444348595373,44.93487935325868,Oregon
-119.26444348595373,45.43487935325868,Oregon
-119.26444348595373,45.93487935325868,Oregon
-119.26444348595373,46.43487935325868,Washington
-119.26444348595373,46.93487935325868,Washington
-119.26444348595373,47.43487935325868,Washington
-119.26444348595373,47.93487935325868,Washington
-119.26444348595373,48.43487935325868,Washington
-119.26444348595373,48.93487935325868,Washington
-118.76444348595373,34.43487935325868,California
-118.76444348595373,34.93487935325868,California
-118.76444348595373,35.43487935325868,California
-118.76444348595373,35.93487935325868,California
-118.76444348595373,36.43487935325868,California
-118.76444348595373,36.93487935325868,California
-118.76444348595373,37.43487935325868,California
-118.76444348595373,37.93487935325868,California
-118.76444348595373,38.43487935325868,Nevada
-118.76444348595373,38.93487935325868,Nevada
-118.76444348595373,39.43487935325868,Nevada
-118.76444348595373,39.93487935325868,Nevada
-118.76444348595373,40.43487935325868,Nevada
-118.76444348595373,40.93487935325868,Nevada
-118.76444348595373,41.43487935325868,Nevada
-118.76444348595373,41.93487935325868,Nevada
-118.76444348595373,42.43487935325868,Oregon
-118.76444348595373,42.93487935325868,Oregon
-118.76444348595373,43.43487935325868,Oregon
-118.76444348595373,43.93487935325868,Oregon
-118.76444348595373,44.43487935325868,Oregon
-118.76444348595373,44.93487935325868,Oregon
-118.76444348595373,45.43487935325868,Oregon
-118.76444348595373,45.93487935325868,Oregon
-118.76444348595373,46.43487935325868,Washington
-118.76444348595373,46.93487935325868,Washington
-118.76444348595373,47.43487935325868,Washington
-118.76444348595373,47.93487935325868,Washington
-118.76444348595373,48.43487935325868,Washington
-118.76444348595373,48.93487935325868,Washington
-118.26444348595373,33.93487935325868,California
-118.26444348595373,34.43487935325868,California
-118.26444348595373,34.93487935325868,California
-118.26444348595373,35.43487935325868,California
-118.26444348595373,35.93487935325868,California
-118.26444348595373,36.43487935325868,California
-118.26444348595373,36.93487935325868,California
-118.26444348595373,37.43487935325868,California
-118.26444348595373,37.93487935325868,Nevada
-118.26444348595373,38.43487935325868,Nevada
-118.26444348595373,38.93487935325868,Nevada
-118.26444348595373,39.43487935325868,Nevada
-118.26444348595373,39.93487935325868,Nevada
-118.26444348595373,40.43487935325868,Nevada
-118.26444348595373,40.93487935325868,Nevada
-118.26444348595373,41.43487935325868,Nevada
-118.26444348595373,41.93487935325868,Nevada
-118.26444348595373,42.43487935325868,Oregon
-118.26444348595373,42.93487935325868,Oregon
-118.26444348595373,43.43487935325868,Oregon
